Sep 13,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,5,4
Sep 14,6:40 PM,2016,River Oaks (B),Oakville Rangers,Brampton 45s,4,1
Sep 17,1:00 PM,2016,Vale (1),Southern Tier Admirals,Buffalo Regals,10,0
Sep 17,2:15 PM,2016,WERC (2),Guelph Gryphons,Oakville Rangers,5,2
Sep 17,5:30 PM,2016,Terry Miller,Brampton 45s,Halton Hurricanes,0,6
Sep 18,1:30 PM,2016,Holiday (1),Buffalo Regals,Guelph Gryphons,2,4
Sep 19,6:30 PM,2016,Mainway (B),Burlington Eagles,Niagara North Stars,1,3
Sep 20,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,2,1
Sep 21,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,0,4
Sep 22,7:15 PM,2016,Mainway (A),Burlington Eagles,Hamilton Jr Bulldogs,3,3
Sep 24,1:00 PM,2016,Vale (1),Southern Tier Admirals,Guelph Gryphons,8,1
Sep 24,3:50 PM,2016,MSC (A),Halton Hurricanes,Niagara North Stars,5,1
Sep 25,5:15 PM,2016,S-H SEC (Sportsplex) (2),Niagara North Stars,Halton Hurricanes,2,2
Sep 27,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Guelph Gryphons,6,2
Sep 28,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Burlington Eagles,4,2
Sep 28,7:00 PM,2016,Leisureplex (Kinsmen),Southern Tier Admirals,Brampton 45s,3,1
Oct 01,12:00 PM,2016,S-H SEC (Sportsplex) (3),Niagara North Stars,Buffalo Regals,2,4
Oct 01,3:30 PM,2016,WERC (2),Guelph Gryphons,Burlington Eagles,1,2
Oct 01,3:30 PM,2016,Vale (1),Southern Tier Admirals,Oakville Rangers,6,3
Oct 01,5:50 PM,2016,Jim Archdekin,Brampton 45s,Hamilton Jr Bulldogs,4,3
Oct 04,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,3,3
Oct 04,7:00 PM,2016,Leisureplex (Kinsmen),Southern Tier Admirals,Burlington Eagles,3,3
Oct 05,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,1,4
Oct 08,1:30 PM,2016,S-H SEC (Sportsplex) (2),Niagara North Stars,Guelph Gryphons,7,4
Oct 08,3:50 PM,2016,MSC (A),Halton Hurricanes,Southern Tier Admirals,6,0
Oct 08,5:30 PM,2016,Central,Burlington Eagles,Buffalo Regals,3,2
Oct 08,5:50 PM,2016,Jim Archdekin,Brampton 45s,Hamilton Jr Bulldogs,1,3
Oct 09,1:30 PM,2016,Holiday (1),Buffalo Regals,Halton Hurricanes,1,4
Oct 11,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,6,1
Oct 12,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,1,4
Oct 13,6:30 PM,2016,Mainway (B),Burlington Eagles,Guelph Gryphons,2,1
Oct 15,1:50 PM,2016,WERC (2),Guelph Gryphons,Niagara North Stars,0,4
Oct 15,5:20 PM,2016,MSC (A),Halton Hurricanes,Burlington Eagles,6,2
Oct 15,5:50 PM,2016,Jim Archdekin,Brampton 45s,Southern Tier Admirals,2,6
Oct 16,5:10 PM,2016,Jim Archdekin,Brampton 45s,Guelph Gryphons,3,2
Oct 18,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,2,3
Oct 19,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Southern Tier Admirals,1,3
Oct 19,6:45 PM,2016,WERC (2),Guelph Gryphons,Niagara North Stars,2,7
Oct 23,12:30 PM,2016,Vale (1),Southern Tier Admirals,Halton Hurricanes,3,4
Oct 23,3:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Buffalo Regals,2,0
Oct 25,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Burlington Eagles,2,5
Oct 26,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,2,5
Oct 27,6:30 PM,2016,Mainway (B),Burlington Eagles,Brampton 45s,1,1
Oct 29,1:10 PM,2016,Vale (1),Southern Tier Admirals,Niagara North Stars,5,3
Oct 29,5:10 PM,2016,MSC (A),Halton Hurricanes,Oakville Rangers,6,2
Oct 29,5:50 PM,2016,Jim Archdekin,Brampton 45s,Guelph Gryphons,2,8
Oct 30,3:15 PM,2016,Acton (B),Halton Hurricanes,Southern Tier Admirals,3,3
Oct 30,3:45 PM,2016,Holiday (2),Buffalo Regals,Hamilton Jr Bulldogs,3,5
Nov 01,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Niagara North Stars,5,1
Nov 02,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Guelph Gryphons,6,0
Nov 03,7:30 PM,2016,Mainway (B),Burlington Eagles,Halton Hurricanes,2,3
Nov 05,12:00 PM,2016,Holiday (1),Buffalo Regals,Halton Hurricanes,1,6
Nov 06,3:15 PM,2016,Acton (B),Halton Hurricanes,Buffalo Regals,7,0
Nov 08,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,1,2
Nov 09,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Brampton 45s,5,1
Nov 10,6:30 PM,2016,Mainway (B),Burlington Eagles,Niagara North Stars,5,4
Nov 12,1:10 PM,2016,Vale (1),Southern Tier Admirals,Buffalo Regals,5,1
Nov 12,2:45 PM,2016,WERC (2),Guelph Gryphons,Oakville Rangers,2,3
Nov 12,5:50 PM,2016,Jim Archdekin,Brampton 45s,Halton Hurricanes,2,3
Nov 12,6:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,3,7
Nov 13,12:00 PM,2016,Holiday (1),Buffalo Regals,Guelph Gryphons,3,2
Nov 13,2:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Southern Tier Admirals,4,4
Nov 13,4:15 PM,2016,Holiday (1),Buffalo Regals,Guelph Gryphons,3,2
Nov 15,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,4,1
Nov 16,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,1,10
Nov 17,7:30 PM,2016,Mainway (B),Burlington Eagles,Hamilton Jr Bulldogs,1,6
Nov 19,1:10 PM,2016,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,5,3
Nov 19,2:45 PM,2016,Holiday (1),Buffalo Regals,Niagara North Stars,1,7
Nov 19,5:50 PM,2016,Jim Archdekin,Brampton 45s,Burlington Eagles,4,4
Nov 20,12:30 PM,2016,Vale (1),Southern Tier Admirals,Halton Hurricanes,1,1
Nov 20,2:00 PM,2016,Holiday (1),Buffalo Regals,Oakville Rangers,4,3
Nov 20,4:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Burlington Eagles,6,3
Nov 22,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Guelph Gryphons,4,3
Nov 23,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Burlington Eagles,4,6
Nov 26,1:10 PM,2016,Vale (1),Southern Tier Admirals,Oakville Rangers,6,2
Nov 26,4:30 PM,2016,WERC (2),Guelph Gryphons,Halton Hurricanes,2,1
Nov 26,5:50 PM,2016,Jim Archdekin,Brampton 45s,Burlington Eagles,1,6
Nov 27,3:15 PM,2016,Acton (B),Halton Hurricanes,Brampton 45s,7,1
Nov 27,4:15 PM,2016,Central,Burlington Eagles,Southern Tier Admirals,1,1
Nov 28,7:15 PM,2016,WERC (2),Guelph Gryphons,Hamilton Jr Bulldogs,2,6
Dec 03,3:30 PM,2016,Jim Archdekin,Brampton 45s,Buffalo Regals,1,2
Dec 03,4:15 PM,2016,S-H SEC (Sportsplex) (2),Niagara North Stars,Guelph Gryphons,2,1
Dec 04,12:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Halton Hurricanes,1,4
Dec 04,1:30 PM,2016,Holiday (1),Buffalo Regals,Oakville Rangers,1,2
Dec 06,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,6,1
Dec 06,7:00 PM,2016,Leisureplex (Kinsmen),Southern Tier Admirals,Niagara North Stars,4,3
Dec 07,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,4,8
Dec 08,6:30 PM,2016,Mainway (B),Burlington Eagles,Guelph Gryphons,3,2
Dec 08,7:00 PM,2016,Leisureplex (Jaycee),Buffalo Regals,Southern Tier Admirals,1,3
Dec 10,1:30 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,4,4
Dec 10,3:50 PM,2016,MSC (A),Halton Hurricanes,Buffalo Regals,5,2
Dec 10,5:50 PM,2016,Jim Archdekin,Brampton 45s,Southern Tier Admirals,1,10
Dec 11,1:30 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Brampton 45s,9,1
Dec 11,1:50 PM,2016,Powerade (RBC),Halton Hurricanes,Guelph Gryphons,4,0
Dec 11,3:15 PM,2016,Holiday (1),Buffalo Regals,Burlington Eagles,4,5
Dec 13,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,3,3
Dec 14,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Southern Tier Admirals,2,4
Dec 17,1:10 PM,2016,Vale (1),Southern Tier Admirals,Burlington Eagles,6,2
Dec 17,3:30 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Brampton 45s,7,0
Dec 17,3:50 PM,2016,MSC (A),Halton Hurricanes,Guelph Gryphons,6,1
Dec 18,1:00 PM,2016,Holiday (1),Buffalo Regals,Niagara North Stars,2,3
Dec 18,4:45 PM,2016,Acton (B),Halton Hurricanes,Brampton 45s,0,2
Dec 19,6:30 PM,2016,Centennial,Guelph Gryphons,Southern Tier Admirals,2,4
Dec 20,6:30 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Burlington Eagles,1,0
Dec 21,6:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,1,1
Dec 22,7:00 PM,2016,Welland (Main),Southern Tier Admirals,Guelph Gryphons,3,3
Dec 23,6:20 PM,2016,Appleby (2),Burlington Eagles,Brampton 45s,2,2
Jan 03,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Niagara North Stars,6,4
Jan 04,6:30 PM,2017,Joshua Creek (Red),Oakville Rangers,Guelph Gryphons,4,4
Jan 05,6:30 PM,2017,Mainway (B),Burlington Eagles,Halton Hurricanes,0,2
Jan 07,2:30 PM,2017,WERC (1),Guelph Gryphons,Southern Tier Admirals,2,5
Jan 07,5:40 PM,2017,MSC (A),Halton Hurricanes,Oakville Rangers,10,1
Jan 07,5:50 PM,2017,Jim Archdekin,Brampton 45s,Niagara North Stars,2,7
Jan 08,2:00 PM,2017,Holiday (1),Buffalo Regals,Hamilton Jr Bulldogs,2,7
Jan 08,5:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Burlington Eagles,3,2
Jan 10,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,6,3
Jan 11,6:30 PM,2017,Joshua Creek (Red),Oakville Rangers,Brampton 45s,4,2
Jan 12,6:30 PM,2017,Mainway (B),Burlington Eagles,Niagara North Stars,3,6
Jan 14,11:00 AM,2017,WERC (1),Guelph Gryphons,Buffalo Regals,4,1
Jan 14,3:50 PM,2017,MSC (A),Halton Hurricanes,Burlington Eagles,6,2
Jan 14,4:30 PM,2017,WERC (2),Guelph Gryphons,Buffalo Regals,5,1
Jan 15,4:00 PM,2017,Jim Archdekin,Brampton 45s,Niagara North Stars,1,8
Jan 15,4:15 PM,2017,Central,Burlington Eagles,Oakville Rangers,3,3
Jan 17,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,5,3
Jan 18,6:30 PM,2017,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,4,3
Jan 21,11:00 AM,2017,WERC (1),Guelph Gryphons,Hamilton Jr Bulldogs,1,6
Jan 21,1:10 PM,2017,Vale (1),Southern Tier Admirals,Buffalo Regals,5,3
Jan 21,5:50 PM,2017,Jim Archdekin,Brampton 45s,Oakville Rangers,5,2
Jan 22,12:30 PM,2017,Vale (1),Southern Tier Admirals,Guelph Gryphons,6,1
Jan 22,4:00 PM,2017,Jim Archdekin,Brampton 45s,Buffalo Regals,3,1
Jan 26,6:30 PM,2017,Mainway (B),Burlington Eagles,Oakville Rangers,4,4
Jan 27,7:35 PM,2017,Powerade (Spectator),Halton Hurricanes,Niagara North Stars,5,4
Jan 28,2:15 PM,2017,WERC (2),Guelph Gryphons,Halton Hurricanes,1,6
Jan 28,4:30 PM,2017,S-H SEC (Sportsplex) (2),Niagara North Stars,Southern Tier Admirals,3,3
Jan 28,5:50 PM,2017,Jim Archdekin,Brampton 45s,Burlington Eagles,2,5
Jan 29,1:30 PM,2017,Holiday (1),Buffalo Regals,Oakville Rangers,3,5
Jan 31,7:00 PM,2017,Terry Miller,Brampton 45s,Halton Hurricanes,1,3
Jan 31,7:00 PM,2017,Central,Burlington Eagles,Hamilton Jr Bulldogs,0,4
Feb 01,6:30 PM,2017,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,2,7
Feb 02,6:30 PM,2017,Mainway (B),Burlington Eagles,Southern Tier Admirals,4,4
Feb 04,2:15 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Southern Tier Admirals,1,6
Feb 04,2:15 PM,2017,WERC (2),Guelph Gryphons,Brampton 45s,2,1
Feb 04,5:40 PM,2017,MSC (A),Halton Hurricanes,Hamilton Jr Bulldogs,6,3
Feb 05,1:45 PM,2017,Holiday (1),Buffalo Regals,Burlington Eagles,3,0
Feb 05,4:00 PM,2017,Jim Archdekin,Brampton 45s,Oakville Rangers,0,4
Feb 07,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,8,2
Feb 08,6:20 PM,2017,WERC (2),Guelph Gryphons,Brampton 45s,2,1
Feb 11,1:00 PM,2017,U of G (Red),Guelph Gryphons,Burlington Eagles,2,4
Feb 11,1:10 PM,2017,Leisureplex (Jaycee),Southern Tier Admirals,Brampton 45s,6,0
Feb 11,1:15 PM,2017,S-H SEC (Sportsplex) (2),Niagara North Stars,Oakville Rangers,6,4
Feb 11,3:50 PM,2017,MSC (A),Halton Hurricanes,Hamilton Jr Bulldogs,1,4
Feb 12,12:00 PM,2017,Holiday (1),Buffalo Regals,Brampton 45s,5,1
Feb 12,4:15 PM,2017,Holiday (1),Buffalo Regals,Brampton 45s,5,1
Feb 12,4:45 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,3,6
Feb 13,6:30 PM,2017,WERC (1),Guelph Gryphons,Oakville Rangers,1,1
Feb 16,7:00 PM,2017,Central,Burlington Eagles,Buffalo Regals,2,1
Feb 17,7:45 PM,2017,Powerade (Spectator),Halton Hurricanes,Niagara North Stars,3,6
Feb 18,2:00 PM,2017,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,1,1
Feb 18,2:15 PM,2017,WERC (2),Guelph Gryphons,Brampton 45s,4,4
Feb 18,2:45 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Oakville Rangers,8,3
Feb 18,3:40 PM,2017,MSC (A),Halton Hurricanes,Burlington Eagles,6,0
Feb 19,1:30 PM,2017,Holiday (1),Buffalo Regals,Southern Tier Admirals,2,2
Feb 24,9:00 AM,2017,S-H SEC (Sportsplex) (3),Guelph Gryphons,Oakville Rangers,3,2
Feb 24,9:15 AM,2017,S-H SEC (Sportsplex) (4),Burlington Eagles,Niagara North Stars,1,6
Feb 24,9:45 AM,2017,S-H SEC (Sportsplex) (2),Halton Hurricanes,Brampton 45s,6,3
Feb 24,10:30 AM,2017,S-H SEC (Sportsplex) (3),Hamilton Jr Bulldogs,Buffalo Regals,6,0
Feb 24,1:00 PM,2017,S-H SEC (Sportsplex) (3),Southern Tier Admirals,Guelph Gryphons,8,2
Feb 24,2:15 PM,2017,S-H SEC (Sportsplex) (4),Oakville Rangers,Burlington Eagles,2,4
Feb 24,3:30 PM,2017,S-H SEC (Sportsplex) (3),Buffalo Regals,Halton Hurricanes,0,2
Feb 24,3:45 PM,2017,S-H SEC (Sportsplex) (4),Brampton 45s,Hamilton Jr Bulldogs,1,5
Feb 24,5:00 PM,2017,S-H SEC (Sportsplex) (3),Niagara North Stars,Southern Tier Admirals,4,4
Feb 25,9:00 AM,2017,S-H SEC (Sportsplex) (3),Guelph Gryphons,Burlington Eagles,4,3
Feb 25,9:15 AM,2017,S-H SEC (Sportsplex) (2),Southern Tier Admirals,Oakville Rangers,5,2
Feb 25,10:30 AM,2017,S-H SEC (Sportsplex) (3),Hamilton Jr Bulldogs,Halton Hurricanes,4,4
Feb 25,10:45 AM,2017,S-H SEC (Sportsplex) (2),Brampton 45s,Buffalo Regals,3,1
Feb 25,1:00 PM,2017,S-H SEC (Sportsplex) (3),Niagara North Stars,Guelph Gryphons,5,1
Feb 25,2:30 PM,2017,S-H SEC (Sportsplex) (3),Burlington Eagles,Southern Tier Admirals,3,5
Feb 25,4:00 PM,2017,S-H SEC (Sportsplex) (3),Halton Hurricanes,Brampton 45s,8,3
Feb 25,5:30 PM,2017,S-H SEC (Sportsplex) (3),Buffalo Regals,Hamilton Jr Bulldogs,0,8
Feb 25,7:00 PM,2017,S-H SEC (Sportsplex) (1),Oakville Rangers,Niagara North Stars,1,3
Mar 01,7:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Halton Hurricanes,2,3
Mar 02,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,2,1
Mar 04,1:00 PM,2017,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,5,4
Mar 04,2:00 PM,2017,MSC (A),Halton Hurricanes,Niagara North Stars,4,3
Mar 06,7:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Halton Hurricanes,4,3
Mar 07,6:30 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,4,1
Mar 08,6:30 PM,2017,MMSP (B),Halton Hurricanes,Niagara North Stars,2,1
Mar 09,6:20 PM,2017,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,3,2
Mar 11,3:45 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,2,3
Mar 17,10:00 AM,2017,Rickard (A),York-Simcoe Express,Halton Hurricanes,4,2
Mar 17,11:30 AM,2017,Rickard (A),Markham Waxers,Southern Tier Admirals,3,4
Mar 17,4:00 PM,2017,Rickard (A),Halton Hurricanes,Markham Waxers,6,1
Mar 17,7:00 PM,2017,Rickard (A),Southern Tier Admirals,Clarington Toros,5,3
Mar 18,11:30 AM,2017,Rickard (A),Southern Tier Admirals,Halton Hurricanes,0,5
Mar 18,4:00 PM,2017,Rickard (A),York-Simcoe Express,Southern Tier Admirals,5,3
Mar 18,7:00 PM,2017,Rickard (A),Halton Hurricanes,Clarington Toros,1,2
Mar 19,10:00 AM,2017,Rickard (A),Halton Hurricanes,Southern Tier Admirals,3,4
